q001 q001a011,qc001 qc001a011,Chief Complaint Urinary frequency,qc999,NA,NA
q001 q001a005,qc001 qc001a005,Chief Complaint Chest pain,qc999,NA,NA
q001 q001a014,qc001 qc001a014,Chief Complaint Ear discomfort,qc999,NA,NA
q001 q001a010,qc001 qc001a010,Chief Complaint hip pain,qc999,NA,NA
q001 q001a003,qc001 qc001a003,Chief Complaint UTI,qc999,NA,NA
q001 q001a004,qc001 qc001a004,Chief Complaint Knee pain,qc999,NA,NA
q001 q001a005,qc001 qc001a005,Chief Complaint Chest pain,qc999,NA,NA
q001 q001a006,qc001 qc001a006,Chief Complaint Hernia,qc999,NA,NA
q001 q001a005,qc001 qc001a005,Chief Complaint Chest pain,qc999,NA,NA
q001 q001a003,qc001 qc001a003,Chief Complaint UTI,qc999,NA,NA
q000 q000a001,qc000 q000a001,Type of visit rpe,qc999,NA,NA
q001 q001a012,qc001 qc001a012,Chief Complaint Constipation,qc999,NA,NA
q001 q001a011,qc001 qc001a011,Chief Complaint Urinary frequency,qc999,NA,NA
q001 q001a004,qc001 qc001a004,Chief Complaint Knee pain,qc999,NA,NA
q001 q001a013,qc001 qc001a013,Chief Complaint Left inguinal hernia,qc999,NA,NA
q001 q001a012,qc001 qc001a012,Chief Complaint Constipation,qc999,NA,NA
q001 q001a002,qc001 qc001a002,Chief Complaint COVID,qc999,NA,NA
q001 q001a011,qc001 qc001a011,Chief Complaint Urinary frequency,qc999,NA,NA
q000 q000a002,qc000 q000a002,Type of visit routine check,qc999,NA,NA
q001 q001a012,qc001 qc001a012,Chief Complaint Constipation,qc999,NA,NA
q000 q000a001,qc000 q000a001,Type of visit rpe,qc999,NA,NA
q001 q001a010,qc001 qc001a010,Chief Complaint hip pain,qc999,NA,NA
q001 q001a004,qc001 qc001a004,Chief Complaint Knee pain,qc999,NA,NA
q001 q001a007,qc001 qc001a007,Chief Complaint skin fold rash,qc999,NA,NA
q001 q001a004,qc001 qc001a004,Chief Complaint Knee pain,qc999,NA,NA
q001 q001a011,qc001 qc001a011,Chief Complaint Urinary frequency,qc999,NA,NA
q001 q001a002,qc001 qc001a002,Chief Complaint COVID,qc999,NA,NA
q000 q000a001,qc000 q000a001,Type of visit rpe,qc999,NA,NA
q000 q000a001,qc000 q000a001,Type of visit rpe,qc999,NA,NA
q001 q001a004,qc001 qc001a004,Chief Complaint Knee pain,qc999,NA,NA
q001 q001a004,qc001 qc001a004,Chief Complaint Knee pain,qc999,NA,NA
q001 q001a002,qc001 qc001a002,Chief Complaint COVID,qc999,NA,NA
q001 q001a004,qc001 qc001a004,Chief Complaint Knee pain,qc999,NA,NA
q000 q000a001,qc000 q000a001,Type of visit rpe,qc999,NA,NA
q001 q001a003,qc001 qc001a003,Chief Complaint UTI,qc999,NA,NA
q001 q001a012,qc001 qc001a012,Chief Complaint Constipation,qc999,NA,NA
q001 q001a006,qc001 qc001a006,Chief Complaint Hernia,qc999,NA,NA
q001 q001a004,qc001 qc001a004,Chief Complaint Knee pain,qc999,NA,NA
q001 q001a010,qc001 qc001a010,Chief Complaint hip pain,qc999,NA,NA
q001 q001a014,qc001 qc001a014,Chief Complaint Ear discomfort,qc999,NA,NA
q001 q001a006,qc001 qc001a006,Chief Complaint Hernia,qc999,NA,NA
q001 q001a009,qc001 qc001a009,Chief Complaint Tick bite,qc999,NA,NA
q001 q001a008,qc001 qc001a008,Chief Complaint Double vision,qc999,NA,NA
q000 q000a001,qc000 q000a001,Type of visit rpe,qc999,NA,NA
q001 q001a012,qc001 qc001a012,Chief Complaint Constipation,qc999,NA,NA
q001 q001a006,qc001 qc001a006,Chief Complaint Hernia,qc999,NA,NA
q001 q001a011,qc001 qc001a011,Chief Complaint Urinary frequency,qc999,NA,NA
q001 q001a003,qc001 qc001a003,Chief Complaint UTI,qc999,NA,NA
q001 q001a003,qc001 qc001a003,Chief Complaint UTI,qc999,NA,NA
q001 q001a006,qc001 qc001a006,Chief Complaint Hernia,qc999,NA,NA
q001 q001a003,qc001 qc001a003,Chief Complaint UTI,qc999,NA,NA
q001 q001a012,qc001 qc001a012,Chief Complaint Constipation,qc999,NA,NA
q001 q001a005,qc001 qc001a005,Chief Complaint Chest pain,qc999,NA,NA
q000 q000a001,qc000 q000a001,Type of visit rpe,qc999,NA,NA
q001 q001a012,qc001 qc001a012,Chief Complaint Constipation,qc999,NA,NA
q001 q001a006,qc001 qc001a006,Chief Complaint Hernia,qc999,NA,NA
q001 q001a008,qc001 qc001a008,Chief Complaint Double vision,qc999,NA,NA
q001 q001a013,qc001 qc001a013,Chief Complaint Left inguinal hernia,qc999,NA,NA
q001 q001a004,qc001 qc001a004,Chief Complaint Knee pain,qc999,NA,NA
